"Timestamp","Age","Gender","Maximum Level of Education","Country","State/Province","Based on your answer above, how industrious is your State of residence?","Currency","Monthly Salary in the currency you mentioned above","Career Industry","Years of working experience","Do you foot your accommodation bills?","If you selected ""Not completely"", what fraction of the rent do you pay?","Accommodation Rented","Location of accommodation","Cost of your accommodation per month","Do you think accommodation prices are generally high in your State of residence for young adults?"
"2021/01/20 7:57:57 AM GMT+1","24","Male","Bachelor's Degree/Equivalent","Nigeria","Lagos","Industrious","Naira","150000","Accounting & Tech","1","Yes","","Full Flat","Mid-class area","80000","Yes"
"2021/01/20 9:02:40 AM GMT+1","27","Female","Bachelor's Degree/Equivalent","Kenya","Nairobi","Most industrious in the country","Kenyan Shillings","150000","Software Engineer","3","Yes","","Shared Flat","Mid-class area","35000","Yes"
"2021/01/20 9:07:23 AM GMT+1","25","Female","High/Secondary School","South Africa","Cape Town","Non-Industrious","Rand","2000","Hospitality","5","Yes","","Shared Flat","Mid-class area","R3500","Yes"
"2021/01/20 9:27:25 AM GMT+1","28","Female","Bachelor's Degree/Equivalent","Nigeria","Lagos","Most industrious in the country","Naira","0","IT","0","No","","Neither. I do not pay rents","I do not pay rents","N/A","Yes"
"2021/01/20 9:27:53 AM GMT+1","24","Female","Bachelor's Degree/Equivalent","Nigeria","Lagos","Industrious","Naira ","70000","Tech","1","Not completely","1/4","Neither. I do not pay rents","Low brow area"," N/A","Yes"
"2021/01/20 10:22:51 AM GMT+1","22","Female","Bachelor's Degree/Equivalent","Nigeria ","Abia state ","Industrious","Naira","30000","Tech","0","No","","Neither. I do not pay rents","Mid-class area","N/A","No"
"2021/01/20 10:39:11 AM GMT+1","20","Female","High/Secondary School","Nigeria ","Lagos","Industrious","Naira","0","Tech","0","No","","Neither. I do not pay rents","High brow area","N/A","Yes"
"2021/01/20 10:50:18 AM GMT+1","28","Female","Master's Degree","Nigeria","Rivers State","Industrious","Naira","0","Engineering","0","No","","Neither. I do not pay rents","I do not pay rents","N/A","Yes"
"2021/01/20 11:00:07 AM GMT+1","20","Female","Undergraduate","Nigeria","Rivers State","Industrious","Naira","15000","Tech","1","Not completely","1/2","Self-contained","Mid-class area","140000","Yes"
"2021/01/20 11:00:31 AM GMT+1","27","Male","Bachelor's Degree/Equivalent","Nigeria ","Delta","Industrious","Naira","145000","Engineering ","3","Yes","","Full Flat","Low brow area","20000","Yes"
"2021/01/20 11:43:35 AM GMT+1","23","Female","Bachelor's Degree/Equivalent","Nigeria","Ekiti","Non-Industrious","Naira","0","0","0","No","","Neither. I do not pay rents","I do not pay rents","N/A","No"
"2021/01/20 11:55:57 AM GMT+1","22","Female","Bachelor's Degree/Equivalent","Nigeria","Lagos","Most industrious in the country","Naira","200000","Tech","1","Not completely","1/3","Shared Flat","Mid-class area","40000","Yes"
"2021/01/20 12:07:17 PM GMT+1","21","Male","High/Secondary School","Nigeria","Osun","Unknown","Naira","40000","Tech","1","No","","Self-contained","Mid-class area","10830","Yes"
"2021/01/20 12:26:41 PM GMT+1","23","Female","Bachelor's Degree/Equivalent","Nigeria","Ekiti","Non-Industrious","Naira","18000","Teaching","1","Not completely","1/4","Full Flat","Mid-class area","10000","Indifferent"
"2021/01/20 12:45:30 PM GMT+1","23","Male","Bachelor's Degree/Equivalent","NIGERIA","OSUN","Non-Industrious","NAIRA","50000","AGRICULTURE","2","Yes","","Shared Flat","Low brow area","6500","Yes"
"2021/01/20 12:48:38 PM GMT+1","28","Female","Master's Degree","Nigeria","FCT","Industrious","Naira","500000","Consulting ","2","Yes","","Studio apartment","Mid-class area","55,000","Yes"
"2021/01/20 12:48:55 PM GMT+1","29","Male","Bachelor's Degree/Equivalent","Nigeria ","Lagos","Most industrious in the country","Naira","80000","Development","3","Yes","","Self-contained","Low brow area","15000","Yes"
"2021/01/20 12:53:20 PM GMT+1","23","Female","Bachelor's Degree/Equivalent","Nigeria","Ondo","Non-Industrious","Naira","20000","Tech","1","No","","Neither. I do not pay rents","I do not pay rents","N/A","No"
"2021/01/20 1:08:47 PM GMT+1","24","Male","Bachelor's Degree/Equivalent","Nigeria","Lagos State","Most industrious in the country","Naira","60000","Finance","0.25","No","","Self-contained","High brow area","N/A","Yes"
"2021/01/20 1:17:01 PM GMT+1","29","Male","Bachelor's Degree/Equivalent","Nigeria","Oyo state","Industrious","Naira","450000","Management ","4","Yes","","Shared Duplex","Mid-class area","25000","No"
"2021/01/20 1:45:46 PM GMT+1","22","Female","Bachelor's Degree/Equivalent","Nigeria","Lagos","Most industrious in the country","Naira","140000","Tech","1","No","","Neither. I do not pay rents","Mid-class area","N/A","Yes"
"2021/01/20 1:50:41 PM GMT+1","21","Male","Bachelor's Degree/Equivalent","Nigeria","Lagos ","Most industrious in the country","Naira ","150000","Accounting ","1","Yes","","Self-contained","Mid-class area","700,000","Yes"
"2021/01/20 2:10:45 PM GMT+1","21","Male","Bachelor's Degree/Equivalent","Nigeria","Lagos","Most industrious in the country","Naira","50000","Finance ","1","No","","Neither. I do not pay rents","Mid-class area","N/A","Yes"
"2021/01/20 2:13:03 PM GMT+1","29","Female","Bachelor's Degree/Equivalent","Nigeria","Rivers State","Industrious","Naira","80000","Accounting","4","Yes","","Self-contained","Mid-class area","15000","Yes"
"2021/01/20 2:37:12 PM GMT+1","23","Female","Bachelor's Degree/Equivalent","Nigeria","Nigeria","Non-Industrious","Naira","0","Tailoring","0","No","","Neither. I do not pay rents","I do not pay rents","0","Yes"
"2021/01/20 2:41:41 PM GMT+1","22","Female","Bachelor's Degree/Equivalent","Nigeria","Lagos","Most industrious in the country","Naira","75000","Education ","1.5","No","","Full Flat","I do not pay rents","N/A","Yes"
"2021/01/20 2:46:11 PM GMT+1","23","Female","Bachelor's Degree/Equivalent","NIGERIA","OYO","","NAIRA","15000","Teaching","0","No","","Mini Flat","Mid-class area","N/A","No"
"2021/01/20 3:26:07 PM GMT+1","19","Female","Bachelor's Degree/Equivalent","NIGERIA","ONDO","Non-Industrious","NAIRA","0","Student","0","No","","Neither. I do not pay rents","I do not pay rents","N/A","Yes"
"2021/01/20 3:48:54 PM GMT+1","23","Female","Bachelor's Degree/Equivalent","Nigeria ","Ekiti","Industrious","Naira","0","Media","0","No","","Neither. I do not pay rents","Mid-class area","N/A","No"
"2021/01/20 5:10:29 PM GMT+1","22","Male","Bachelor's Degree/Equivalent","NIGERIA","LAGOS","Most industrious in the country","NAIRA","0","Media","2","No","","Neither. I do not pay rents","Mid-class area","25000","Yes"
"2021/01/20 5:45:49 PM GMT+1","22","Male","Bachelor's Degree/Equivalent","Nigeria","Lagos","Most industrious in the country","Naira","190000","Technology","2","Yes","","Self-contained","Low brow area","25000","Yes"
"2021/01/20 7:01:43 PM GMT+1","22","Female","Bachelor's Degree/Equivalent","Nigerian","Osun State","Industrious","Naira","5000","Crafts","1","Not completely","1/4","Self-contained","Mid-class area","10000","Yes"
"2021/01/20 7:26:45 PM GMT+1","19","Female","Bachelor's Degree/Equivalent","Nigeria ","Cross River","Industrious","Naira ","0","Tech","0","No","","Neither. I do not pay rents","I do not pay rents","N/A","Yes"
"2021/01/20 7:29:07 PM GMT+1","24","Female","Bachelor's Degree/Equivalent","Nigeria","Lagos","Most industrious in the country","Naira","200000","Tech","2","Yes","","Mini Flat","Mid-class area","23000","Yes"
"2021/01/20 7:29:51 PM GMT+1","23","Female","Bachelor's Degree/Equivalent","Nigeria","Ogun State","Industrious","Naira","33000","Science.","0","No","","Neither. I do not pay rents","I do not pay rents","N/A","No"
"2021/01/20 7:50:50 PM GMT+1","22","Female","Bachelor's Degree/Equivalent","Nigeria","Rivers State","Industrious","Naira","0","Tech","0","No","","Neither. I do not pay rents","I do not pay rents","N/A","Yes"
"2021/01/20 7:51:57 PM GMT+1","23","Female","Bachelor's Degree/Equivalent","Nigeria ","Ogun State","Industrious","Naira","50000","Tech","2","Yes","","Self-contained","Mid-class area","120,000","Yes"
"2021/01/20 7:53:21 PM GMT+1","27","Female","Bachelor's Degree/Equivalent","Nigeria","Lagos","Industrious","Naira ","200000","Music ","6","Yes","","Shared Flat","Mid-class area","17,000","No"
"2021/01/20 8:15:08 PM GMT+1","25","Male","Bachelor's Degree/Equivalent","Nigeria","Lagos State","Most industrious in the country","Naira","0","Agriculture","0","No","","Self-contained","Low brow area","15,000","Yes"
"2021/01/20 8:22:59 PM GMT+1","24","Male","Bachelor's Degree/Equivalent","NIGERIAN","OYO","Industrious","NAIRA","80000","INFORMATION TECHNOLOGY","3","Yes","","Self-contained","High brow area","2500","Yes"
"2021/01/20 8:28:17 PM GMT+1","21","Male","High/Secondary School","Nigeria","Ilorin, Kwara state","Industrious","Naira","17000","Tech","2.5","Not completely","1/4","Self-contained","Mid-class area","7000","Yes"
"2021/01/20 8:37:36 PM GMT+1","21","Female","Bachelor's Degree/Equivalent","Nigeria ","Lagos ","Industrious","Naira","0","Tech","0.3","No","","Neither. I do not pay rents","I do not pay rents","N/A","Yes"
"2021/01/20 8:39:12 PM GMT+1","25","Male","Bachelor's Degree/Equivalent","Adamawa","Niger state","Non-Industrious","Naira","0","Mechanic","2","Not completely","1/2","Studio apartment","Low brow area","5000","Yes"
