Product_Name,Price,Shipping Type,Discount
PlayStation 5 Digital Console– God of War™ Ragnarök Bundle,$584.80,Free Shipping,NaN
PS5 Bundle - Includes PS5 Console and an Additional DualSense 5 Controller,$698.94,Free Shipping,NaN
"omarando PS5 Console Carrying Storage  Case ,Compatible PS5 CD-ROM and Digital Edition, Nylon Waterproof Material,Zinc Alloy zipper, Including PS5 Game Controller Protection Case (Black-Blue)",$45.99 ,Free Shipping,NaN
SONY PLAYSTATION 5 DIGITAL EDITION CONSOLE,$536.05,Free Shipping,5%
PlayStation 5 Console - Horizon Forbidden West Bundle,$678.98,Free Shipping,NaN
"omarando PS5 Console Carrying Storage  Case ,Compatible PS5 CD-ROM and Digital Edition, Nylon Waterproof Material,Zinc Alloy zipper, Including PS5 Game Controller Protection Case (Black-Green)",$49.99 ,Free Shipping,NaN
PlayStation PS5 Console,$629.80,Free Shipping,NaN
PlayStation 5 Digital Console,$549.89,Free Shipping,NaN
PlayStation®5 Digital Edition – Horizon Forbidden West™ Bundle,$549.99,Free Shipping,8%
"PlayStation 5 Disc Console  God of War Ragnarok Bundle with Extra Controller, Cefesfy",$723.65,Free Shipping,NaN
PlayStation 5 Disc Edition Horizon Forbidden West Bundle with Ozeal charging station,$689.00,Free Shipping,NaN
PS5 Bundle - Includes PlayStation 5 Console and an Additional Cosmic Red DualSense Controller,$688.90,Free Shipping,NaN
PlayStation 5 Disc Bundle + DualSense Wireless Controller + SpiderMan: Miles Morales,$749.95,Free Shipping,NaN
Sony PlayStation 5 PS5 Console Disc Blu-Ray US Version,$639.99,Free Shipping,NaN
Sony PlayStation 5 PS5 Console Digital,$568.60,Free Shipping,NaN
New PlayStation 5 Console - Call of Duty Modern Warfare II Bundle,$769.99,Free Shipping,NaN
PlayStation 5 Console,$654.75,Free Shipping,NaN
PlayStation 5 Console Disc Version With Extra DualSense Wireless Controller,$699.70,Free Shipping,NaN
PS5 Core with Extra Red DualSense Controller and Accessories Kit,$829.99,Free Shipping,NaN
"PS5 Bundle: Includes PlayStation 5 Digital Console, Additional Cosmic Red DualSense Controller and PS5 Media Remote",$679.95,Free Shipping,NaN
PlayStation 5 Digital Edition  Horizon Forbidden West Bundle with Ozeal charging station,$669.00,Free Shipping,NaN
PS5 Core with Extra Blue Dualsense Controller and Accessories Kit,$829.99,Free Shipping,NaN
PlayStation 5 Disc Edition Horizon Forbidden West Bundle with Two DualSense Controllers and Mytrix Dual Controller Charger,$799.99,Free Shipping,NaN
"SONY Playstation 5 Disc Gaming Console Horizon Forbidden West Bundle, JAWFOAL Accessories",$749.99,Free Shipping,NaN
"YPINGK PS5 Vertical Stand with Cooling Fan and Dual Controller Charger - Indicator Lamps and 15 Game Slots, Fast Cooling through Metal Base, PS5 Console Compatible",$49.99 ,$4.08 Shipping,NaN
PlayStation 5 Digital Edition with Two DualSense Controllers and Mytrix Dual Controller Charger,$614.99,Free Shipping,7%
"Newest PlayStation 5 Digital Version Video Game Console God of War Ragnarök Bundle, Up to 120 fps, 4K UHD Blu-ray Player, HDMI, USB, w/Pearlite Tech. High Speed HDMI Cable",$679.99,Free Shipping,NaN
PlayStation 5 Disc Edition Call of Duty Modern Warfare II Bundle with Ozeal charging station,$789.00,Free Shipping,NaN
PS5 Core with Extra Purple Dualsense Controller and Accessories Kit,$829.99,Free Shipping,NaN
"omarando PS5 Console Carrying Storage  Case ,Compatible PS5 CD-ROM and Digital Edition, Nylon Waterproof Material,Zinc Alloy zipper, Including PS5 Game Controller Protection Case(Black-White)",$45.99 ,Free Shipping,NaN
"PS5 Bundle- Includes PlayStation 5 Digital Console, Additional DualSense Controller, PlayStation Media Remote, and DualSense Charging station",$749.95,Free Shipping,NaN
"PS5 Deluxe bundle: PS5 Disc Version + Wireless Controller+Five Games (Marvel's Spider-Man: Miles Morales, Cyberpunk 2077, Hitman 3, Demon's Soul and Assassin’s Creed Valhalla) +Ozeal Charging Station",$999.00,Free Shipping,9%
"Sony PlayStation 5 Digital Edition Console, JAWFOAL HDMI Cable",$554.98,Free Shipping,8%
PS5 Bundle: PS5 Disc Console+DualSense Wireless Controller + Watch Dogs: Legion and SpiderMan: Miles Morales+Ozeal charging station for PS5,$799.00,Free Shipping,NaN
PlayStation 5 Disc Console and PlayStation 5 - DualSense Wireless Controller - Midnight Black,$729.90,Free Shipping,NaN
"PS5 Bundle - Includes Playstation 5 Digital Console, Additional DualSense Controller and HD Camera for PS5",$699.95,Free Shipping,NaN
PlayStation 5 Console with Miles Morales Game and Accessories,$879.99,Free Shipping,NaN
SONY,$770.00,Free Shipping,NaN
